# This file is used to load Spectral Resonse Functions (SRFs)
# by function eotools.srf.get_SRF

platform,sensor,srf_getter,srf_getter_arg

Proba-V,Proba-V,eotools.srf.get_SRF_probav,
ENVISAT,MERIS,eotools.srf.get_SRF_meris,
SPOT,VGT-1,eotools.srf.get_SRF_vgt,VGT1
SPOT,VGT-2,eotools.srf.get_SRF_vgt,VGT2
MODIS,MISR,eotools.srf.get_SRF_misr
Sentinel-3A,OLCI-FULL,eotools.srf.get_SRF_olci,SENTINEL3_1
Sentinel-3B,OLCI-FULL,eotools.srf.get_SRF_olci,SENTINEL3_2

# From the EUMETSAT database
# https://nwp-saf.eumetsat.int/site/software/rttov/download/coefficients/spectral-response-functions/
# see function eotools.srf.get_SRF_eumetsat
,,eotools.srf.get_SRF_eumetsat,ers_1_atsr
,,eotools.srf.get_SRF_eumetsat,ers_2_atsr
ENVISAT,ATSR,eotools.srf.get_SRF_eumetsat,envisat_1_atsr
ENVISAT,ATSR-SHIFTED,eotools.srf.get_SRF_eumetsat,envisat_1_atsr-shifted
GOES-16,ABI,eotools.srf.get_SRF_eumetsat,goes_16_abi
GOES-17,ABI,eotools.srf.get_SRF_eumetsat,goes_17_abi
GOES-18,ABI,eotools.srf.get_SRF_eumetsat,goes_18_abi
GOES-19,ABI,eotools.srf.get_SRF_eumetsat,goes_19_abi
,,eotools.srf.get_SRF_eumetsat,fy4_1_agri
,,eotools.srf.get_SRF_eumetsat,fy4_2_agri
HIMAWARI-8,AHI,eotools.srf.get_SRF_eumetsat,himawari_8_ahi
HIMAWARI-9,AHI,eotools.srf.get_SRF_eumetsat,himawari_9_ahi
,,eotools.srf.get_SRF_eumetsat,gkompsat2_1_ami
,,eotools.srf.get_SRF_eumetsat,eos_1_aster
,,eotools.srf.get_SRF_eumetsat,metop_1_avhrr
,,eotools.srf.get_SRF_eumetsat,metop_2_avhrr
,,eotools.srf.get_SRF_eumetsat,metop_3_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_5_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_6_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_7_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_8_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_9_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_10_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_11_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_12_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_13_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_14_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_15_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_16_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_17_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_18_avhrr
,,eotools.srf.get_SRF_eumetsat,noaa_19_avhrr
CO2M,CLIM,eotools.srf.get_SRF_eumetsat,co2m_1_clim
ISS,ECOSTRESS,eotools.srf.get_SRF_eumetsat,iss_1_ecostres
,,eotools.srf.get_SRF_eumetsat,dscovr_1_epic
MTG,FCI,eotools.srf.get_SRF_eumetsat,mtg_1_fci
,,eotools.srf.get_SRF_eumetsat,gms_1_imager
,,eotools.srf.get_SRF_eumetsat,gms_2_imager
,,eotools.srf.get_SRF_eumetsat,gms_3_imager
,,eotools.srf.get_SRF_eumetsat,gms_4_imager
,,eotools.srf.get_SRF_eumetsat,gms_5_imager
,,eotools.srf.get_SRF_eumetsat,goes_8_imager
,,eotools.srf.get_SRF_eumetsat,goes_9_imager
,,eotools.srf.get_SRF_eumetsat,goes_10_imager
,,eotools.srf.get_SRF_eumetsat,goes_11_imager
,,eotools.srf.get_SRF_eumetsat,goes_12_imager
,,eotools.srf.get_SRF_eumetsat,goes_13_imager
,,eotools.srf.get_SRF_eumetsat,goes_14_imager
,,eotools.srf.get_SRF_eumetsat,goes_15_imager
,,eotools.srf.get_SRF_eumetsat,goes_4_sounder
,,eotools.srf.get_SRF_eumetsat,goes_5_sounder
,,eotools.srf.get_SRF_eumetsat,goes_6_sounder
,,eotools.srf.get_SRF_eumetsat,goes_7_sounder
,,eotools.srf.get_SRF_eumetsat,goes_8_sounder
,,eotools.srf.get_SRF_eumetsat,goes_9_sounder
,,eotools.srf.get_SRF_eumetsat,goes_10_sounder
,,eotools.srf.get_SRF_eumetsat,goes_11_sounder
,,eotools.srf.get_SRF_eumetsat,goes_12_sounder
,,eotools.srf.get_SRF_eumetsat,goes_13_sounder
,,eotools.srf.get_SRF_eumetsat,goes_14_sounder
,,eotools.srf.get_SRF_eumetsat,goes_15_sounder
,,eotools.srf.get_SRF_eumetsat,nimbus_6_hirs
,,eotools.srf.get_SRF_eumetsat,metop_1_hirs
,,eotools.srf.get_SRF_eumetsat,metop_2_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_5_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_6_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_7_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_8_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_9_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_10_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_11_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_12_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_14_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_15_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_16_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_17_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_18_hirs
,,eotools.srf.get_SRF_eumetsat,noaa_19_hirs
,,eotools.srf.get_SRF_eumetsat,metop_1_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,metop_2_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_6_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_7_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_8_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_9_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_10_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_11_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_12_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_14_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_15_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_16_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_17_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_18_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,noaa_19_hirs-shifted
,,eotools.srf.get_SRF_eumetsat,nimbus_1_hrir
,,eotools.srf.get_SRF_eumetsat,nimbus_2_hrir
,,eotools.srf.get_SRF_eumetsat,nimbus_3_hrir
,,eotools.srf.get_SRF_eumetsat,calipso_1_iir
,,eotools.srf.get_SRF_eumetsat,insat3_4_imager
,,eotools.srf.get_SRF_eumetsat,insat3_5_imager
,,eotools.srf.get_SRF_eumetsat,insat3_6_imager
,,eotools.srf.get_SRF_eumetsat,insat3_4_sounder
,,eotools.srf.get_SRF_eumetsat,insat3_5_sounder
,,eotools.srf.get_SRF_eumetsat,fy3_1_iras
,,eotools.srf.get_SRF_eumetsat,hj1_2_irmss
,,eotools.srf.get_SRF_eumetsat,ticfire_1_mbfiri
,,eotools.srf.get_SRF_eumetsat,fy3_3_mersi1
,,eotools.srf.get_SRF_eumetsat,fy3_4_mersi2
,,eotools.srf.get_SRF_eumetsat,metopsg_1_metimage
,,eotools.srf.get_SRF_eumetsat,coms_1_mi
,,eotools.srf.get_SRF_eumetsat,eos_1_modis
,,eotools.srf.get_SRF_eumetsat,eos_2_modis
,,eotools.srf.get_SRF_eumetsat,eos_1_modis-shifted
,,eotools.srf.get_SRF_eumetsat,eos_2_modis-shifted
,,eotools.srf.get_SRF_eumetsat,nimbus_2_mrir
,,eotools.srf.get_SRF_eumetsat,nimbus_3_mrir
,,eotools.srf.get_SRF_eumetsat,earthcare_1_msi
SENTINEL2-A,MSI,eotools.srf.get_SRF_eumetsat,sentinel2_1_msi
SENTINEL2-B,MSI,eotools.srf.get_SRF_eumetsat,sentinel2_2_msi
S2A,MSI,eotools.srf.get_SRF_eumetsat,sentinel2_1_msi
S2B,MSI,eotools.srf.get_SRF_eumetsat,sentinel2_2_msi
,,eotools.srf.get_SRF_eumetsat,electro-l_2_msugs
,,eotools.srf.get_SRF_eumetsat,meteor-m_1_msumr
,,eotools.srf.get_SRF_eumetsat,meteor-m_2_msumr
,,eotools.srf.get_SRF_eumetsat,mtsat_1_imager
,,eotools.srf.get_SRF_eumetsat,mtsat_2_imager
,,eotools.srf.get_SRF_eumetsat,meteosat_1_mviri
,,eotools.srf.get_SRF_eumetsat,meteosat_2_mviri
,,eotools.srf.get_SRF_eumetsat,meteosat_3_mviri
,,eotools.srf.get_SRF_eumetsat,meteosat_4_mviri
,,eotools.srf.get_SRF_eumetsat,meteosat_5_mviri
,,eotools.srf.get_SRF_eumetsat,meteosat_6_mviri
,,eotools.srf.get_SRF_eumetsat,meteosat_7_mviri
,,eotools.srf.get_SRF_eumetsat,meteosat_2_mviri-vis
,,eotools.srf.get_SRF_eumetsat,meteosat_3_mviri-vis
,,eotools.srf.get_SRF_eumetsat,meteosat_4_mviri-vis
,,eotools.srf.get_SRF_eumetsat,meteosat_5_mviri-vis
,,eotools.srf.get_SRF_eumetsat,meteosat_6_mviri-vis
,,eotools.srf.get_SRF_eumetsat,meteosat_7_mviri-vis
,,eotools.srf.get_SRF_eumetsat,fy1_3_mvisr
,,eotools.srf.get_SRF_eumetsat,fy1_4_mvisr
SENTINEL-3A,OLCI,eotools.srf.get_SRF_eumetsat,sentinel3_1_olci
SENTINEL-3B,OLCI,eotools.srf.get_SRF_eumetsat,sentinel3_2_olci
LANDSAT-8,OLI,eotools.srf.get_SRF_eumetsat,landsat_8_oli
LANDSAT-9,OLI,eotools.srf.get_SRF_eumetsat,landsat_9_oli
,,eotools.srf.get_SRF_eumetsat,sbg_1_sbg
MSG-1,SEVIRI,eotools.srf.get_SRF_eumetsat,msg_1_seviri
MSG-2,SEVIRI,eotools.srf.get_SRF_eumetsat,msg_2_seviri
MSG-3,SEVIRI,eotools.srf.get_SRF_eumetsat,msg_3_seviri
MSG-4,SEVIRI,eotools.srf.get_SRF_eumetsat,msg_4_seviri
,,eotools.srf.get_SRF_eumetsat,gcom-c_1_sgli
,,eotools.srf.get_SRF_eumetsat,nimbus_3_sirs
,,eotools.srf.get_SRF_eumetsat,nimbus_3_sirs-blur
,,eotools.srf.get_SRF_eumetsat,nimbus_4_sirs
,,eotools.srf.get_SRF_eumetsat,nimbus_4_sirs-blur
,,eotools.srf.get_SRF_eumetsat,sentinel3_1_slstr
,,eotools.srf.get_SRF_eumetsat,sentinel3_2_slstr
,,eotools.srf.get_SRF_eumetsat,dmsp_1_ssh
,,eotools.srf.get_SRF_eumetsat,dmsp_2_ssh
,,eotools.srf.get_SRF_eumetsat,dmsp_3_ssh
,,eotools.srf.get_SRF_eumetsat,dmsp_4_ssh
,,eotools.srf.get_SRF_eumetsat,oceansat_3_sstm
,,eotools.srf.get_SRF_eumetsat,nimbus_4_thir
,,eotools.srf.get_SRF_eumetsat,nimbus_5_thir
,,eotools.srf.get_SRF_eumetsat,nimbus_6_thir
,,eotools.srf.get_SRF_eumetsat,nimbus_7_thir
,,eotools.srf.get_SRF_eumetsat,landsat_8_tirs
,,eotools.srf.get_SRF_eumetsat,landsat_9_tirs
,,eotools.srf.get_SRF_eumetsat,landsat_4_tm
,,eotools.srf.get_SRF_eumetsat,landsat_5_tm
,,eotools.srf.get_SRF_eumetsat,landsat_7_tm
,,eotools.srf.get_SRF_eumetsat,trishna_1_tir
,,eotools.srf.get_SRF_eumetsat,jpss_0_viirs
,,eotools.srf.get_SRF_eumetsat,noaa_20_viirs
,,eotools.srf.get_SRF_eumetsat,noaa_21_viirs
,,eotools.srf.get_SRF_eumetsat,gf5_1_vims
,,eotools.srf.get_SRF_eumetsat,fy3_3_virr
,,eotools.srf.get_SRF_eumetsat,fy2_2_vissr
,,eotools.srf.get_SRF_eumetsat,fy2_3_vissr
,,eotools.srf.get_SRF_eumetsat,fy2_4_vissr
,,eotools.srf.get_SRF_eumetsat,fy2_5_vissr
,,eotools.srf.get_SRF_eumetsat,fy2_7_vissr
,,eotools.srf.get_SRF_eumetsat,fy2_8_vissr
,,eotools.srf.get_SRF_eumetsat,noaa_2_vtpr1
